titre,console,note_testeur,nom_testeur,statut_testeur,year,date_test,note_lecteur,nombre_testeur,url
Les Chevaliers de Baphomet,Android,16,la_redaction,Journaliste jeuxvideo.com,2012,03 juillet 2012 à 14:37:54,16.9,12,https://jeuxvideo.com/articles/0001/00017294-les-chevaliers-de-baphomet-the-director-s-cut-test.htm
The Secret World,PC,16,pixelpirate,Journaliste jeuxvideo.com,2012,03 juillet 2012 à 09:59:00,16.2,247,https://jeuxvideo.com/articles/0001/00017280-the-secret-world-test.htm
Squids Wild West,iOS,17,Romendil,Journaliste jeuxvideo.com,2012,02 juillet 2012 à 17:12:13,17.8,16,https://jeuxvideo.com/articles/0001/00017286-squids-wild-west-test.htm
Krater,PC,12,Logan,Journaliste jeuxvideo.com,2012,02 juillet 2012 à 16:37:14,13.4,12,https://jeuxvideo.com/articles/0001/00017285-krater-test.htm
Bella Sara,3DS,10,Rivaol,Journaliste jeuxvideo.com,2012,02 juillet 2012 à 15:57:08,11.9,7,https://jeuxvideo.com/articles/0001/00017284-bella-sara-the-magical-horse-adventures-test.htm
Siege Hero,Web,13,Crunch,Journaliste jeuxvideo.com,2012,02 juillet 2012 à 15:54:30,,,https://jeuxvideo.com/articles/0001/00017313-siege-hero-viking-vengeance-test.htm
LEGO Batman 2,Wii,16,Lena,Journaliste jeuxvideo.com,2012,02 juillet 2012 à 14:56:33,16.7,22,https://jeuxvideo.com/articles/0001/00017282-lego-batman-2-dc-super-heroes-test.htm
LEGO Batman 2,DS,14,Lena,Journaliste jeuxvideo.com,2012,02 juillet 2012 à 14:38:55,12.4,21,https://jeuxvideo.com/articles/0001/00017281-lego-batman-2-dc-super-heroes-test.htm
GunLord,NEO,14,shametblame,Journaliste jeuxvideo.com,2012,30 juin 2012 à 15:04:10,11.3,3,https://jeuxvideo.com/articles/0001/00017310-gunlord-test.htm
Londres 2012,PC,14,Logan,Journaliste jeuxvideo.com,2012,29 juin 2012 à 18:06:15,13.8,32,https://jeuxvideo.com/articles/0001/00017279-londres-2012-le-jeu-officiel-des-jeux-olympiques-test.htm
Londres 2012,PS3,14,Logan,Journaliste jeuxvideo.com,2012,29 juin 2012 à 18:04:25,14.7,64,https://jeuxvideo.com/articles/0001/00017278-londres-2012-le-jeu-officiel-des-jeux-olympiques-test.htm
The Amazing Spider-Man,360,15,miniblob,Journaliste jeuxvideo.com,2012,29 juin 2012 à 17:15:28,16.5,244,https://jeuxvideo.com/articles/0001/00017277-the-amazing-spider-man-test.htm
Spec Ops,PC,16,Anagund,Journaliste jeuxvideo.com,2012,29 juin 2012 à 16:44:41,16.7,273,https://jeuxvideo.com/articles/0001/00017275-spec-ops-the-line-test.htm
Jetez-Vous à l'Eau !,iOS,18,Wolphegon,Journaliste jeuxvideo.com,2012,29 juin 2012 à 16:24:11,17.8,20,https://jeuxvideo.com/articles/0001/00017273-jetez-vous-a-l-eau-test.htm
Londres 2012,360,14,Logan,Journaliste jeuxvideo.com,2012,29 juin 2012 à 16:23:23,14.5,48,https://jeuxvideo.com/articles/0001/00017274-londres-2012-le-jeu-officiel-des-jeux-olympiques-test.htm
Spirit Camera,3DS,14,Romendil,Journaliste jeuxvideo.com,2012,29 juin 2012 à 11:50:12,13.3,42,https://jeuxvideo.com/articles/0001/00017272-spirit-camera-le-memoire-maudit-test.htm
Resident Evil Chronicles HD Collection,PS3,13,Logan,Journaliste jeuxvideo.com,2012,28 juin 2012 à 16:57:14,12.9,11,https://jeuxvideo.com/articles/0001/00017271-resident-evil-chronicles-hd-collection-test.htm
Trauma Team,Wii,17,Llenlleawg893,Journaliste jeuxvideo.com,2012,28 juin 2012 à 15:49:06,17.3,6,https://jeuxvideo.com/articles/0001/00017296-trauma-team-test.htm
Spec Ops,PS3,16,Anagund,Journaliste jeuxvideo.com,2012,28 juin 2012 à 15:03:53,16.7,180,https://jeuxvideo.com/articles/0001/00017270-spec-ops-the-line-test.htm
Magic The Gathering,iOS,12,Anagund,Journaliste jeuxvideo.com,2012,28 juin 2012 à 14:51:34,15,4,https://jeuxvideo.com/articles/0001/00017269-magic-the-gathering-duels-of-the-planeswalkers-2013-test.htm
Men of War,PC,13,Anagund,Journaliste jeuxvideo.com,2012,28 juin 2012 à 11:37:10,13.5,4,https://jeuxvideo.com/articles/0001/00017268-men-of-war-condemned-heroes-test.htm
Project Zero 2,Wii,15,la_redaction,Journaliste jeuxvideo.com,2012,27 juin 2012 à 16:30:09,16.3,44,https://jeuxvideo.com/articles/0001/00017267-project-zero-2-wii-edition-test.htm
Sins of a Solar Empire,PC,16,Lespol,Journaliste jeuxvideo.com,2012,27 juin 2012 à 16:28:14,15.1,39,https://jeuxvideo.com/articles/0001/00017266-sins-of-a-solar-empire-rebellion-test.htm
Steel Battalion,360,5,Dinowan,Journaliste jeuxvideo.com,2012,27 juin 2012 à 15:38:56,10.3,23,https://jeuxvideo.com/articles/0001/00017265-steel-battalion-heavy-armor-test.htm
The Beast Within,Mac,18,Renbel,Journaliste jeuxvideo.com,2012,26 juin 2012 à 22:55:48,,,https://jeuxvideo.com/articles/0001/00017291-the-beast-within-a-gabriel-knight-mystery-test.htm
The Beast Within,PC,18,Renbel,Journaliste jeuxvideo.com,2012,26 juin 2012 à 17:44:45,18,7,https://jeuxvideo.com/articles/0001/00017290-the-beast-within-a-gabriel-knight-mystery-test.htm
Mahjong Mysteries,DS,9,Logan,Journaliste jeuxvideo.com,2012,26 juin 2012 à 16:00:36,7,5,https://jeuxvideo.com/articles/0001/00017263-mahjong-mysteries-ancient-athena-test.htm
Spec Ops,360,16,Anagund,Journaliste jeuxvideo.com,2012,26 juin 2012 à 14:21:38,16.8,209,https://jeuxvideo.com/articles/0001/00017248-spec-ops-the-line-test.htm
Wanted Corp.,PC,9,miniblob,Journaliste jeuxvideo.com,2012,25 juin 2012 à 17:47:27,13,1,https://jeuxvideo.com/articles/0001/00017260-wanted-corp-test.htm
LEGO Batman 2,3DS,14,Lena,Journaliste jeuxvideo.com,2012,25 juin 2012 à 17:39:16,13.8,22,https://jeuxvideo.com/articles/0001/00017259-lego-batman-2-dc-super-heroes-test.htm
Wanted Corp.,PS3,9,miniblob,Journaliste jeuxvideo.com,2012,25 juin 2012 à 16:57:29,12.7,3,https://jeuxvideo.com/articles/0001/00017257-wanted-corp-test.htm
Asphalt 7,iOS,13,Lespol,Journaliste jeuxvideo.com,2012,25 juin 2012 à 16:55:47,14.9,25,https://jeuxvideo.com/articles/0001/00017256-asphalt-7-heat-test.htm
LEGO Batman 2,Vita,14,Lena,Journaliste jeuxvideo.com,2012,25 juin 2012 à 16:30:47,13.4,48,https://jeuxvideo.com/articles/0001/00017255-lego-batman-2-dc-super-heroes-test.htm
LEGO Batman 2,PC,16,Lena,Journaliste jeuxvideo.com,2012,25 juin 2012 à 16:01:04,16.3,39,https://jeuxvideo.com/articles/0001/00017254-lego-batman-2-dc-super-heroes-test.htm
Gyro,Android,17,cancan2006,Journaliste jeuxvideo.com,2012,25 juin 2012 à 15:49:56,17,5,https://jeuxvideo.com/articles/0001/00017283-gyro-test.htm
Splice,Mac,16,Lena,Journaliste jeuxvideo.com,2012,25 juin 2012 à 09:59:33,15,1,https://jeuxvideo.com/articles/0001/00017247-splice-test.htm
Splice,PC,16,Lena,Journaliste jeuxvideo.com,2012,25 juin 2012 à 09:59:04,16,16,https://jeuxvideo.com/articles/0001/00017246-splice-test.htm
Tiny & Big in Grandpa's Leftovers,PC,14,miniblob,Journaliste jeuxvideo.com,2012,25 juin 2012 à 07:59:47,15,12,https://jeuxvideo.com/articles/0001/00017251-tiny-big-in-grandpa-s-leftovers-test.htm
Worlds,PC,14,camil,Journaliste jeuxvideo.com,2012,23 juin 2012 à 17:06:59,16.4,16,https://jeuxvideo.com/articles/0001/00017376-worlds-test.htm
Magic The Gathering,360,12,Anagund,Journaliste jeuxvideo.com,2012,22 juin 2012 à 18:05:41,14.9,27,https://jeuxvideo.com/articles/0001/00017253-magic-the-gathering-duels-of-the-planeswalkers-2013-test.htm
Magic The Gathering,PS3,12,Anagund,Journaliste jeuxvideo.com,2012,22 juin 2012 à 18:05:41,15.2,12,https://jeuxvideo.com/articles/0001/00017252-magic-the-gathering-duels-of-the-planeswalkers-2013-test.htm
Magic The Gathering,PC,12,Anagund,Journaliste jeuxvideo.com,2012,22 juin 2012 à 18:02:28,14.3,35,https://jeuxvideo.com/articles/0001/00017249-magic-the-gathering-duels-of-the-planeswalkers-2013-test.htm
Pro Cycling Manager Saison 2012,PC,15,Lespol,Journaliste jeuxvideo.com,2012,22 juin 2012 à 16:28:45,13.9,115,https://jeuxvideo.com/articles/0001/00017250-pro-cycling-manager-saison-2012-test.htm
Civilization V,PC,17,pixelpirate,Journaliste jeuxvideo.com,2012,22 juin 2012 à 16:25:21,15.6,70,https://jeuxvideo.com/articles/0001/00017245-civilization-v-gods-kings-test.htm
Quantum Conundrum,PC,15,Dinowan,Journaliste jeuxvideo.com,2012,22 juin 2012 à 15:48:12,15.7,37,https://jeuxvideo.com/articles/0001/00017244-quantum-conundrum-test.htm
Metal Gear Solid HD Collection,Vita,13,Logan,Journaliste jeuxvideo.com,2012,22 juin 2012 à 15:41:55,16.6,99,https://jeuxvideo.com/articles/0001/00017235-metal-gear-solid-hd-collection-test.htm
Project 83113,iOS,13,theronde,Journaliste jeuxvideo.com,2012,21 juin 2012 à 15:24:58,16,1,https://jeuxvideo.com/articles/0001/00017243-project-83113-test.htm
Yesterday,iOS,16,Jihem,Journaliste jeuxvideo.com,2012,21 juin 2012 à 14:40:25,16.8,10,https://jeuxvideo.com/articles/0001/00017242-yesterday-test.htm
Forge of Empires,Web,12,CptObvious,Journaliste jeuxvideo.com,2012,20 juin 2012 à 17:53:08,9.7,100,https://jeuxvideo.com/articles/0001/00017241-forge-of-empires-test.htm
Mutant Mudds,3DS,16,Lespol,Journaliste jeuxvideo.com,2012,19 juin 2012 à 18:54:36,15.6,42,https://jeuxvideo.com/articles/0001/00017230-mutant-mudds-test.htm
LEGO Batman 2,PS3,16,Lena,Journaliste jeuxvideo.com,2012,19 juin 2012 à 17:55:56,17.1,63,https://jeuxvideo.com/articles/0001/00017233-lego-batman-2-dc-super-heroes-test.htm
LEGO Batman 2,360,16,Lena,Journaliste jeuxvideo.com,2012,19 juin 2012 à 16:33:39,17,49,https://jeuxvideo.com/articles/0001/00017229-lego-batman-2-dc-super-heroes-test.htm
Tales of Eternia Online,PC,14,Rroyd-Y,Journaliste jeuxvideo.com,2012,19 juin 2012 à 15:58:01,12.7,3,https://jeuxvideo.com/articles/0001/00017262-tales-of-eternia-online-test.htm
Spider-Man & Venom,MD,14,Skines,Journaliste jeuxvideo.com,2012,19 juin 2012 à 15:35:05,13.8,8,https://jeuxvideo.com/articles/0001/00017261-spider-man-venom-maximum-carnage-test.htm
Enclave,Wii,5,Dinowan,Journaliste jeuxvideo.com,2012,19 juin 2012 à 14:22:27,6.3,7,https://jeuxvideo.com/articles/0001/00017227-enclave-shadows-of-twilight-test.htm
Heroes of Ruin,3DS,14,Romendil,Journaliste jeuxvideo.com,2012,18 juin 2012 à 16:55:39,15.1,100,https://jeuxvideo.com/articles/0001/00017226-heroes-of-ruin-test.htm
Temple Run,iOS,8,Lespol,Journaliste jeuxvideo.com,2012,18 juin 2012 à 16:36:08,10.3,15,https://jeuxvideo.com/articles/0001/00017225-temple-run-rebelle-test.htm
Catapult King,iOS,11,Jihem,Journaliste jeuxvideo.com,2012,18 juin 2012 à 15:20:29,15.2,6,https://jeuxvideo.com/articles/0001/00017214-catapult-king-test.htm
Madagascar 3,PS3,12,dharn,Journaliste jeuxvideo.com,2012,18 juin 2012 à 15:19:29,15.2,6,https://jeuxvideo.com/articles/0001/00017223-madagascar-3-bons-baisers-d-europe-test.htm
Madagascar 3,Wii,12,dharn,Journaliste jeuxvideo.com,2012,18 juin 2012 à 10:41:24,7,2,https://jeuxvideo.com/articles/0001/00017222-madagascar-3-bons-baisers-d-europe-test.htm
Madagascar 3,360,12,dharn,Journaliste jeuxvideo.com,2012,18 juin 2012 à 09:29:25,10.5,2,https://jeuxvideo.com/articles/0001/00017190-madagascar-3-bons-baisers-d-europe-test.htm
Madagascar 3,3DS,11,dharn,Journaliste jeuxvideo.com,2012,15 juin 2012 à 17:29:26,11,3,https://jeuxvideo.com/articles/0001/00017221-madagascar-3-bons-baisers-d-europe-test.htm
Babel Rising,360,12,Lespol,Journaliste jeuxvideo.com,2012,15 juin 2012 à 17:03:17,10.8,5,https://jeuxvideo.com/articles/0001/00017220-babel-rising-test.htm
Madagascar 3,DS,11,dharn,Journaliste jeuxvideo.com,2012,15 juin 2012 à 16:58:41,15.6,7,https://jeuxvideo.com/articles/0001/00017219-madagascar-3-bons-baisers-d-europe-test.htm
Bridge Constructor,iOS,12,Lena,Journaliste jeuxvideo.com,2012,15 juin 2012 à 16:14:21,12.5,6,https://jeuxvideo.com/articles/0001/00017216-bridge-constructor-test.htm
